name,label,partido,type,score,bigtype,billtype,cod_partido,uf
CP:2211927,PL 4036/2019,,Proposicao,0.25,bill,PL,,
CP:2212010,PL 4062/2019,,Proposicao,0.25,bill,PL,,
CP:2212069,PL 4071/2019,,Proposicao,0.25,bill,PL,,
CP:2212074,PL 4073/2019,,Proposicao,0.25,bill,PL,,
CP:2212104,PL 4078/2019,,Proposicao,0.25,bill,PL,,
CP:2212149,PL 4091/2019,,Proposicao,0.25,bill,PL,,
CP:2212201,PL 4099/2019,,Proposicao,0.25,bill,PL,,
CP:2212434,PL 4128/2019,,Proposicao,0.25,bill,PL,,
CP:2212439,PL 4130/2019,,Proposicao,0.25,bill,PL,,
CP:2212479,PL 4142/2019,,Proposicao,0.25,bill,PL,,
CP:2212577,PL 4149/2019,,Proposicao,0.25,bill,PL,,
CP:2212588,MPV 888/2019,,Proposicao,0.5,bill,MPV,,
CP:2212908,PL 4154/2019,,Proposicao,0.75,bill,PL,,
CP:2212915,PL 4158/2019,,Proposicao,0.25,bill,PL,,
CP:2212927,PL 4159/2019,,Proposicao,0.25,bill,PL,,
CP:2212949,MPV 889/2019,,Proposicao,0.5,bill,MPV,,
CP:2213191,MPV 890/2019,,Proposicao,0.5,bill,MPV,,
CP:2213200,PL 4162/2019,,Proposicao,1.0,bill,PL,,
CP:2213221,PL 4166/2019,,Proposicao,0.25,bill,PL,,
CP:2213229,PL 4174/2019,,Proposicao,0.0,bill,PL,,
CP:2213238,PL 4183/2019,,Proposicao,0.25,bill,PL,,
CP:2213323,MPV 891/2019,,Proposicao,0.25,bill,MPV,,
CP:2213325,MPV 892/2019,,Proposicao,0.25,bill,MPV,,
CP:2213524,PL 4251/2019,,Proposicao,0.25,bill,PL,,
CP:2213734,PL 4264/2019,,Proposicao,0.25,bill,PL,,
CP:2213774,PL 4270/2019,,Proposicao,0.0,bill,PL,,
CP:2213795,PL 4276/2019,,Proposicao,0.25,bill,PL,,
CP:2213953,PL 4292/2019,,Proposicao,0.25,bill,PL,,
CP:2213984,PL 4299/2019,,Proposicao,0.25,bill,PL,,
CP:2214009,PL 4307/2019,,Proposicao,0.25,bill,PL,,
CP:2214010,PL 4309/2019,,Proposicao,0.25,bill,PL,,
CP:2214025,PL 4318/2019,,Proposicao,0.25,bill,PL,,
CP:2214038,PL 4320/2019,,Proposicao,0.25,bill,PL,,
CP:2214043,PL 4323/2019,,Proposicao,0.25,bill,PL,,
CP:2214140,PL 4339/2019,,Proposicao,0.25,bill,PL,,
CP:2214197,PL 4347/2019,,Proposicao,0.25,bill,PL,,
CP:2214218,PL 4353/2019,,Proposicao,0.25,bill,PL,,
CP:2214292,PL 4360/2019,,Proposicao,0.25,bill,PL,,
CP:2214320,PL 4365/2019,,Proposicao,0.25,bill,PL,,
CP:2214373,PL 4374/2019,,Proposicao,0.25,bill,PL,,
CP:2214410,PL 4378/2019,,Proposicao,0.0,bill,PL,,
CP:2214421,PL 4383/2019,,Proposicao,0.25,bill,PL,,
