source,target,etype
CD:178956,CP:2231073,autoria
CD:204419,CP:2231078,autoria
CD:141401,CP:2231085,autoria
CD:74356,CP:2231295,autoria
CO:253,CP:2231391,autoria
CD:133439,CP:2231435,autoria
CD:204467,CP:2231528,autoria
CD:204411,CP:2231578,autoria
CD:204411,CP:2231579,autoria
CD:204466,CP:2231618,autoria
CD:90201,CP:2231632,autoria
CD:204531,CP:2231646,autoria
CD:204453,CP:2231685,autoria
CD:204566,CP:2231728,autoria
CD:204566,CP:2231730,autoria
CD:204500,CP:2231773,autoria
CD:160604,CP:2231783,autoria
CD:66179,CP:2231833,autoria
CD:66179,CP:2231834,autoria
CD:204548,CP:2231836,autoria
CD:204416,CP:2231849,autoria
CD:204416,CP:2231851,autoria
CD:204566,CP:2231929,autoria
CD:204383,CP:2231993,autoria
CD:204472,CP:2231996,autoria
CD:178993,CP:2231998,autoria
CD:74075,CP:2232122,autoria
CD:73486,CP:2232220,autoria
CD:160642,CP:2232230,autoria
CD:211866,CP:2232236,autoria
CD:211866,CP:2232237,autoria
CD:160642,CP:2232440,autoria
CD:204477,CP:2232458,autoria
CD:194260,CP:2232524,autoria
CO:5438,CP:2232528,autoria
CO:5438,CP:2232529,autoria
CD:204439,CP:2232949,autoria
CD:204439,CP:2232950,autoria
CD:204381,CP:2232957,autoria
CD:204381,CP:2232960,autoria
CD:204381,CP:2232961,autoria
CD:204541,CP:2233068,autoria
CO:253,CP:2233070,autoria
CD:204416,CP:2233082,autoria
CD:204416,CP:2233087,autoria
CD:204571,CP:2233098,autoria
CD:204381,CP:2233134,autoria
CD:204381,CP:2233135,autoria
CD:204381,CP:2233137,autoria
CD:205548,CP:2233138,autoria
CD:205476,CP:2233140,autoria
CD:178933,CP:2233179,autoria
CD:74044,CP:2233185,autoria
CD:178954,CP:2233209,autoria
CD:178954,CP:2233210,autoria
CD:205535,CP:2233221,autoria
CD:74419,CP:2233319,autoria
CD:178952,CP:2233339,autoria
CD:204406,CP:2233345,autoria
CD:204487,CP:2233352,autoria
CD:67138,CP:2233356,autoria
CD:204399,CP:2233362,autoria
CD:141421,CP:2233376,autoria
CD:204478,CP:2233389,autoria
CD:90201,CP:2233391,autoria
CD:198783,CP:2233392,autoria
CD:204428,CP:2233401,autoria
CD:74043,CP:2233451,autoria
CO:78,CP:2233453,autoria
CO:78,CP:2233458,autoria
CO:78,CP:2233465,autoria
CO:78,CP:2233470,autoria
CO:253,CP:2233488,autoria
CO:253,CP:2233489,autoria
CD:121948,CP:2233490,autoria
CD:204464,CP:2233496,autoria
CD:205476,CP:2233505,autoria
CD:205476,CP:2233506,autoria
CD:178948,CP:2233585,autoria
CD:73696,CP:2233640,autoria
CD:179587,CP:2233642,autoria
CD:204388,CP:2233659,autoria
CD:204491,CP:2233710,autoria
CD:66179,CP:2233724,autoria
CD:178920,CP:2233785,autoria
CD:178994,CP:2233788,autoria
CD:74161,CP:2233801,autoria
CD:204393,CP:2233806,autoria
CD:162332,CP:2233829,autoria
CD:205863,CP:2233842,autoria
CD:73604,CP:2233843,autoria
CD:204570,CP:2233846,autoria
CD:160570,CP:2233848,autoria
CD:160570,CP:2233849,autoria
CD:74052,CP:2233851,autoria
CD:204430,CP:2233852,autoria
CD:204404,CP:2233853,autoria
CD:141421,CP:2233857,autoria
CD:204461,CP:2233866,autoria
CD:204531,CP:2233869,autoria
CD:73531,CP:2233879,autoria
CD:178910,CP:2233895,autoria
CD:205535,CP:2233950,autoria
CD:205535,CP:2233951,autoria
CD:204392,CP:2233959,autoria
CO:253,CP:2233986,autoria
CD:204469,CP:2234037,autoria
CD:204372,CP:2234090,autoria
CD:204372,CP:2234092,autoria
CD:204416,CP:2234124,autoria
CD:204421,CP:2234133,autoria
CD:204421,CP:2234139,autoria
CD:73486,CP:2234140,autoria
CD:143632,CP:2234141,autoria
CD:205535,CP:2234163,autoria
CD:204421,CP:2234179,autoria
CD:204421,CP:2234180,autoria
CD:204421,CP:2234184,autoria
CD:204526,CP:2234232,autoria
CD:204526,CP:2234233,autoria
CD:204555,CP:2234336,autoria
CD:74305,CP:2234339,autoria
CD:74305,CP:2234341,autoria
CD:204419,CP:2234343,autoria
CD:204541,CP:2234364,autoria
CD:139285,CP:2234368,autoria
CD:178970,CP:2234380,autoria
CD:178970,CP:2234382,autoria
CD:204404,CP:2234427,autoria
CD:204547,CP:2234440,autoria
CD:204559,CP:2234441,autoria
CD:178843,CP:2234448,autoria
CD:160666,CP:2234451,autoria
CD:178839,CP:2234452,autoria
CD:178871,CP:2234453,autoria
CD:75431,CP:2234470,autoria
CD:204414,CP:2234475,autoria
CD:204416,CP:2234476,autoria
CD:204416,CP:2234477,autoria
CD:116379,CP:2234516,autoria
CD:204527,CP:2234555,autoria
CD:204527,CP:2234556,autoria
CD:204527,CP:2234557,autoria
CD:204359,CP:2234572,autoria
CD:204359,CP:2234574,autoria
CD:69871,CP:2234582,autoria
CD:204566,CP:2234583,autoria
CD:204566,CP:2234584,autoria
